Time(Not Pruning),Time(Pruning),"Diff Time (Pruning, %)",Time(Additional),"Diff Time (Additional, %)",CAND.(Not Pruning),CAND.(Pruning),"Pruning Ratio (Pruning, %)",Time(Additional),"Diff Time (Additional, %)"
0.9206708800047636,0.5375585011206567,171.26896478902788,0.4806420598179102,191.55021105592735,455977,256240,43.80418310572682,217214,52.36294813115574
1.4977991078048944,0.8470264836214483,176.83025699516244,0.788879212923348,189.86418747865136,771103,421243,45.371370621045436,375613,51.288868024116105
1.4878715868107975,0.32831616839393973,453.1825508591862,0.2859983551315963,520.2378126007695,768158,151216,80.31446655505769,115470,84.96793628394158
0.7103670928627253,0.6493351790122688,109.39913866106788,0.619428567122668,114.681035161565,329205,300747,8.644461657629748,274887,16.499749396272833
2.2384704486466944,0.4685689639300108,477.72486463295724,0.36686764657497406,610.1574967279746,1164705,222350,80.90932897171388,145749,87.48618748953598
2.0937313931062818,1.2709972811862826,164.7313825212987,1.1846146462485194,176.74366932206908,1084410,647223,40.315655517746976,579111,46.59667468946247
1.3768146177753806,1.0132543491199613,135.88045479115695,0.986009637825191,139.63500608494815,705612,505143,28.410656281355756,478627,32.168528879894325
2.085147032979876,1.829850824084133,113.9517498112734,1.8123957701027393,115.04921096023497,1064301,925544,13.037383221475878,916108,13.923974514728442
0.07417319715023041,0.06631272099912167,111.85364743397102,0.06882637972012162,107.76855829385666,17318,15573,10.07622127266427,15020,13.269430650190543
1.6549830539152026,1.2322331108152866,134.30762729790717,1.1358723603188992,145.70149884187356,836433,611547,26.88631366768169,532772,36.30428259047647
1.7208759342320263,0.9386640167795122,183.33247077439128,0.8043957161717117,213.93400034774385,880167,461626,47.552453114011314,359962,59.10298841015398
1.0729755298234522,1.0116418520919979,106.06278571854466,0.9831148008815944,109.14041054628376,520078,484918,6.76052438288103,464508,10.684935721180295
0.2873682789504528,0.23637201264500618,121.57457887454513,0.22116018505766988,129.93671481850063,127693,100418,21.3598239527617,86477,32.27741536341068
1.5349674699828029,1.0309587200172246,148.88738415803473,0.9497807589359581,161.6128201736189,779127,512454,34.227154238012545,443897,43.02636155594659
1.268018719740212,1.0722423028200865,118.25859849077183,1.0461037950590253,121.21347095090744,631445,524703,16.904401808550233,501677,20.550958515785226
1.8132221079431474,1.187755693681538,152.6595172381729,1.079751665238291,167.92954957314063,903158,574172,36.42618456571275,485572,46.236206732376836
0.5701180156320333,0.2740057222545147,208.06792315909007,0.27672654297202826,206.02216524262414,275688,121864,55.79640753315342,118855,56.887858738864225
1.1929701049812138,0.36693839030340314,325.114552335286,0.30605340423062444,389.7914836073051,616023,169257,72.52424016635743,125774,79.58290518373502
2.6599656539037824,0.9633206240832806,276.12464504588706,0.90044527919963,295.40558603051596,1393864,488738,64.93646438963916,436328,68.69651558545166
2.0721746319904923,0.7286175503395498,284.39812231050695,0.6564985010772943,315.6404208981614,1105837,370290,66.51495654422848,317491,71.28953001210847
1.7380140172317624,1.448155352845788,120.01571611887975,1.4070909032598138,123.51824698783125,889310,733239,17.549673342254096,697759,21.53928326455342
1.9665747499093413,0.8903832528740168,220.8683444529699,0.7856157878413796,250.3227124944699,1017452,435638,57.1834346976565,356580,64.95362926211752
1.7793889958411455,0.9801836521364748,181.5362857728415,0.7870387933216989,226.08656789727357,899956,477982,46.888292316513244,335950,62.67039721941961
1.7428048648871481,0.25756330881267786,676.6510621878465,0.1982272327877581,879.1954770176151,929352,117363,87.37152338403533,69352,92.53759608845733
0.9265729202888906,0.7138209450058639,129.80466975247958,0.6504661990329623,142.4475125173932,457046,343953,24.744336456286675,296994,35.01879460710738
1.0191904921084642,0.5176173029467463,196.90039075322815,0.4629533179104328,220.14973274381978,511724,246903,51.75074845033651,204697,59.99855390796601
1.2854094370268285,0.49777804920449853,258.2294335961675,0.41097077867016196,312.7739254810804,649420,234920,63.82618336361677,176997,72.74537279418558
0.7779375039972365,0.2608336000703275,298.2504952534813,0.22019147593528032,353.300463014241,386311,112733,70.81807145020463,78744,79.61642303739733
0.589598978869617,0.3812103890813887,154.66498179401327,0.34653982101008296,170.13888249583354,280956,174366,37.93832486225601,147876,47.36684747789689
0.9157069968059659,0.8790171048603952,104.17396791742723,0.8832311579026282,103.67693537674289,443552,424369,4.324859317509549,419432,5.4379193420388106
0.986742549110204,0.606766511220485,162.62310639481626,0.5934278792701662,166.27842802460853,510440,304959,40.255661781992,292140,42.767024527858325
1.657719863113016,0.9978530718944967,166.128652584665,0.8372075301595032,198.0058472237093,815179,470387,42.29647721543367,353045,56.69110710653734
1.4098884179256856,1.3180234576575458,106.96990328468104,1.3178037130273879,106.98774058594445,709946,661396,6.8385482839539975,655067,7.730024537077469
1.2742061940953135,1.2120156111195683,105.13117012728064,1.1964100212790072,106.50246750132864,630231,594979,5.593504603867473,577505,8.366138764992513
1.9056975049898028,1.270988319069147,149.93823911658822,1.1946261650882661,159.52249839170383,979747,636187,35.06619566071649,578638,40.94005901523556
2.2615021471865475,0.5793608501553535,390.3443159095292,0.5335888331755996,423.8286123282318,1217577,296263,75.6678222404004,260925,78.5701438184197
1.5463073519058526,1.3775335540995002,112.2518828891018,1.355827978812158,114.04893364573974,780466,688320,11.80653609510216,665667,14.709032808604093
1.108899004291743,0.8470714339055121,130.9097391207076,0.773244361858815,143.40861168726047,559382,418570,25.17277996074239,363372,35.04045535966476
2.068231090903282,1.2991802147589624,159.19508836478101,1.2294795028865337,168.22005458794177,1073340,655613,38.91842286693872,600054,44.09469506400582
