Time(Not Pruning),Time(Pruning),"Diff Time (Pruning, %)",Time(Additional),"Diff Time (Additional, %)",CAND.(Not Pruning),CAND.(Pruning),"Pruning Ratio (Pruning, %)",Time(Additional),"Diff Time (Additional, %)"
0.8383129271678627,0.5672470801509917,147.7862040197224,0.5238514370284975,160.02875393892612,422886,271544,35.78789555577626,230040,45.60236091996425
0.7502866829745471,0.5400585550814867,138.92691374203676,0.5013846079818904,149.64294296837426,377786,260871,30.947414673915915,224863,40.478736639261385
0.7907972778193653,0.6371304169297218,124.1185880953779,0.6233138791285455,126.86983304863644,397769,312819,21.35661652868876,293017,26.334882808866453
0.7417814456857741,0.5504678138531744,134.75473533928152,0.5160355130210519,143.74620098200737,372575,267309,28.2536402066698,236397,36.55049318929075
0.8145370148122311,0.5220221779309213,156.03494434675494,0.49346837075427175,165.06367238232562,412968,251552,39.08680575734682,221612,46.33676217043451
0.8808824568986893,0.6795604098588228,129.6253348663573,0.6481791799888015,135.90107243400013,456158,341318,25.175487440755177,312077,31.585766335348723
0.9359109508804977,0.6021224809810519,155.43531099446687,0.5765281477943063,162.3356907136496,490246,298673,39.07691240724045,270309,44.862579194934796
0.8492563292384148,0.540694666095078,157.0676358566256,0.5072184167802334,167.43404835916652,438429,266496,39.21569969139816,232377,46.99780352120868
0.8334494959563017,0.42805172177031636,194.70766114649888,0.4032696932554245,206.6729808600837,423590,198723,53.08600297457447,171916,59.41452819943814
0.8026006519794464,0.4458145941607654,180.03014313390113,0.390105864033103,205.7391918393056,402530,203746,49.383648423719976,161452,59.89069137704022
0.9226246913895011,0.7386328070424497,124.90979043887462,0.7134433169849217,129.31997110696886,473516,371795,21.482061852186618,342069,27.759780028552356
0.9294416098855436,0.5077012032270432,183.06862461184653,0.4692987143062055,198.04904244402138,475814,237790,50.02458944041159,199185,58.13805394544927
0.9600778329186141,0.5235194242559373,183.38915204209363,0.49327502865344286,194.63337431441923,500998,253200,49.46087609132172,215374,57.01100603196021
0.8717027460224926,0.5746153821237385,151.70195110349113,0.5394325819797814,161.59623558948562,443779,278478,37.248495309602305,238492,46.258836042264285
0.8964199870824814,0.7277321089059114,123.1799416450346,0.7113992548547685,126.00800197147868,465611,371666,20.17671403811336,346563,25.568124464413415
0.9576942841522396,0.5589266829192638,171.34524319902206,0.5113880569115281,187.2734944058195,494627,270436,45.325265300923725,227898,53.92528107038233
0.8751373328268528,0.5607239762321115,156.0727505728398,0.5139508228749037,170.27647274335865,446066,271297,39.180076490922865,228873,48.69077670120565
0.906569036655128,0.5092375031672418,178.02479805918696,0.46719568874686956,194.04482072314553,480126,253135,47.27738135406122,214216,55.3833785298026
0.8310623737052083,0.613192823715508,135.53034894791617,0.5888898163102567,141.12357705764146,417274,295852,29.098865493656447,267965,35.78200415074987
0.8621654286980629,0.6756202802062035,127.61094566831603,0.6396708227694035,134.7826722759351,449088,343282,23.560193102465448,309527,31.076537337893683
0.9429265423677862,0.5226627471856773,180.40821685590862,0.47348155407235026,199.1474713761927,479941,246256,48.69035985673239,204977,57.29120871107074
0.861468946095556,0.4354485468938947,197.8348423115692,0.4183318391442299,205.9295672683771,440830,203295,53.883583240705036,180146,59.13481387382891
0.9145091287791729,0.6079380051232874,150.42802408671818,0.5632785190828145,162.35469626433948,471029,297396,36.86248617388739,254143,46.045147963288876
0.8308891518972814,0.434390002861619,191.277227013434,0.3867932939901948,214.81477698999208,424808,206350,51.42511440462515,162455,61.758017739778914
0.78201599791646,0.4982157531194389,156.9633222193568,0.46406213380396366,168.51536485129628,403737,244743,39.380586867193244,209391,48.13678211310829
0.8251636316999793,0.4513801308348775,182.8090284288207,0.3764297100715339,219.20789183807284,423863,213102,49.72384945135574,156250,63.13667387811628
0.7815906265750527,0.5034620352089405,155.2432103943422,0.47315173083916306,165.18815754702086,392833,239756,38.9674492723371,207998,47.05180063793011
0.8552365838550031,0.5720306555740535,149.5088725615137,0.5540142548270524,154.37086255514922,433077,278216,35.75830625962588,252850,41.61546330098342
0.9036305439658463,0.6957634598948061,129.87611394574645,0.6761817499063909,133.63722757837562,465899,350157,24.842723422887786,321463,31.001569009592217
0.8108078739605844,0.4363095387816429,185.83317619520673,0.39955027401447296,202.93012586726803,409646,202638,50.533387363723804,167873,59.01998310736587
0.9731897888705134,0.5527595710009336,176.06023304277977,0.4915232053026557,197.9946782515123,494524,265645,46.282687998964654,213927,56.74082552110716
0.7739123087376356,0.6460006660781801,119.800543463213,0.6320185069926083,122.45089347465688,391279,319184,18.42547133886562,299749,23.392515315158747
0.9132657279260457,0.5113700381480157,178.59195099375404,0.46193185169249773,197.705727496357,475348,247187,47.9987293519695,200573,57.80501863897607
0.725750882178545,0.4058106788434088,178.83976938383927,0.363948130980134,199.41052595161148,363425,187894,48.29909885120727,151913,58.199628534085434
0.8210142767056823,0.405214985832572,202.61202211433306,0.3675434999167919,223.37880465619756,415841,182456,56.123614554601396,148693,64.24282357920455
0.9587858500890434,0.5458270241506398,175.65745330785114,0.5009774779900908,191.38302462930437,500675,270530,45.96694462475658,228161,54.42932041743646
0.9068406950682402,0.5867698257789016,154.54794286063768,0.5524589889682829,164.14624672172772,477053,295483,38.06076054442589,257217,46.08209150765219
0.7989742606878281,0.428394490852952,186.50432667727256,0.3873513671569526,206.26602315930077,400147,196561,50.8778024076152,159759,60.074922465993744
0.8362720301374793,0.44958675373345613,186.00904568315528,0.4150643916800618,201.4800707794975,427450,208398,51.24622762896245,174879,59.087846531758096
